entry,numberOfJets,numberOfBJets,met,jetPtRec[0],jetPtRec[1],jetPtRec[2],jetPtRec[3],jetEtaRec[0],jetEtaRec[1],jetEtaRec[2],jetEtaRec[3],jetPhiRec[0],jetPhiRec[1],jetPhiRec[2],jetPhiRec[3],jetMass[0],jetMass[1],jetMass[2],jetMass[3]
1836,1,0,500.84,457.947,-1,-1,-1,-0.558833,0,0,0,2.45029,0,0,0,48.8925,0,0,0
1837,1,0,264.033,281.303,-1,-1,-1,-0.221905,0,0,0,-2.24384,0,0,0,37.8972,0,0,0
1838,4,0,317.057,453.625,83.0285,64.4972,55.7839,0.961893,0.92024,2.19953,0.688916,-2.34483,1.46305,1.88982,-2.67335,49.0339,13.7914,7.13184,3.97293
1839,3,0,108.934,107.223,63.6257,60.6117,-1,1.69941,1.23433,-1.29621,0,-1.53909,-1.52383,1.04212,0,12.6405,6.43977,11.2589,0
1840,2,0,271.239,273.186,47.9814,-1,-1,1.51519,-1.73047,0,0,-2.61982,-0.899887,0,0,18.4261,8.79145,0,0
1841,4,0,308.156,74.924,63.672,58.8731,57.6076,-0.650665,0.201552,-0.183966,-1.27422,-2.29873,-1.72725,-1.43362,-2.42187,17.3878,7.63178,10.9183,10.624
1842,1,0,154.655,243.147,-1,-1,-1,-0.601674,0,0,0,2.42281,0,0,0,48.855,0,0,0
1843,2,0,157.445,190.411,64.6155,-1,-1,-0.126506,1.35699,0,0,0.111698,-2.53695,0,0,31.2992,11.2818,0,0
1844,1,0,169.712,174.005,-1,-1,-1,-0.0043604,0,0,0,-0.946849,0,0,0,18.1329,0,0,0
1845,1,0,165.649,110.406,-1,-1,-1,-1.45407,0,0,0,2.57092,0,0,0,21.8848,0,0,0
1846,1,0,192.583,172.212,-1,-1,-1,0.223699,0,0,0,-3.04255,0,0,0,23.16,0,0,0
1847,4,0,411.858,105.767,99.7276,61.4868,53.0384,0.97865,-1.16148,2.16049,2.27018,0.320759,-0.596099,0.224406,-0.64598,17.5289,19.1768,12.2596,12.977
1848,3,0,268.465,174.718,56.2216,46.0799,-1,0.584435,-2.32129,1.92669,0,2.39025,1.74618,1.32086,0,21.0438,10.0123,7.54906,0
1849,1,0,168.007,192.086,-1,-1,-1,1.01293,0,0,0,-0.124022,0,0,0,19.8194,0,0,0
1850,4,0,538.356,332.561,174.748,62.0538,35.9852,0.109214,0.0911887,-1.25171,1.11327,0.2968,-0.1822,-1.08821,-1.93599,26.1146,23.6046,10.1623,5.72682
1851,2,0,160.104,162.775,42.2116,-1,-1,0.449597,0.99332,0,0,0.439955,0.147636,0,0,24.4008,5.50453,0,0
1852,4,0,263.919,111.845,103.246,65.9388,36.2992,-0.0581525,0.245014,0.464883,0.740624,-1.48309,-0.634945,-1.18732,-0.483904,15.7641,17.0096,7.04986,8.95343
1853,1,0,238.288,304.323,-1,-1,-1,-0.963955,0,0,0,-2.72907,0,0,0,35.0854,0,0,0
