entry,numberOfJets,numberOfBJets,met,jetPtRec[0],jetPtRec[1],jetPtRec[2],jetPtRec[3],jetEtaRec[0],jetEtaRec[1],jetEtaRec[2],jetEtaRec[3],jetPhiRec[0],jetPhiRec[1],jetPhiRec[2],jetPhiRec[3],jetMass[0],jetMass[1],jetMass[2],jetMass[3]
171,2,0,49.453,82.4514,60.1346,-1,-1,2.29085,0.20844,0,0,-0.944717,3.102,0,0,7.53102,3.95798,0,0
172,0,0,27.6373,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
173,3,0,26.9012,70.9621,66.2087,37.985,-1,-1.22447,2.26153,-2.36036,0,-0.115543,2.04703,-2.87506,0,14.1737,11.8858,6.42693,0
174,2,0,170.529,83.0904,76.1451,-1,-1,0.995027,1.04726,0,0,-2.24746,-1.33621,0,0,13.4048,8.96602,0,0
175,1,0,68.427,36.5125,-1,-1,-1,0.0450587,0,0,0,0.578238,0,0,0,5.24508,0,0,0
176,2,0,127.57,162.064,38.3587,-1,-1,0.261393,-2.32851,0,0,-1.90995,2.25142,0,0,21.8226,6.47853,0,0
177,0,0,8.52897,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
178,2,0,353.654,255.578,43.7968,-1,-1,0.154639,-0.438018,0,0,1.35572,0.359905,0,0,29.3833,7.80947,0,0
179,2,0,172.196,117.304,112.321,-1,-1,-0.00969725,-0.645291,0,0,-2.02004,-1.49944,0,0,12.0288,12.6218,0,0
180,0,0,80.6911,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
181,2,0,36.6181,46.8484,37.6667,-1,-1,0.35487,-1.09918,0,0,-0.591855,1.73928,0,0,5.78059,4.83924,0,0
182,7,0,355.118,427.066,138.012,88.2257,64.1908,1.19994,2.05996,-0.27953,-0.862044,1.26927,1.88573,-0.28178,-2.3785,59.2198,17.8394,12.7245,11.9543
183,1,0,41.3353,48.6882,-1,-1,-1,-2.04319,0,0,0,-0.901879,0,0,0,9.49571,0,0,0
184,1,0,127.746,99.7191,-1,-1,-1,0.844746,0,0,0,1.09978,0,0,0,12.6099,0,0,0
185,1,0,21.7197,43.3213,-1,-1,-1,-1.2848,0,0,0,1.51615,0,0,0,5.63902,0,0,0
186,1,0,116.378,44.0375,-1,-1,-1,0.662502,0,0,0,2.17203,0,0,0,7.4274,0,0,0
187,3,0,300.724,382.311,131.562,40.2038,-1,-0.994375,0.190784,-0.802497,0,2.55718,-0.445571,-0.831804,0,49.7483,9.59067,8.7272,0
188,1,0,78.9396,65.789,-1,-1,-1,2.25532,0,0,0,1.91873,0,0,0,6.79446,0,0,0
189,2,0,114.283,57.1006,51.0159,-1,-1,-0.640194,-0.813977,0,0,-0.872473,0.756186,0,0,4.4471,6.12024,0,0
190,2,0,84.5944,80.9329,45.0582,-1,-1,0.66642,0.857885,0,0,-0.635574,-2.72228,0,0,11.1377,7.15687,0,0
191,1,0,51.518,41.8792,-1,-1,-1,-0.949978,0,0,0,1.50835,0,0,0,6.17083,0,0,0
192,2,0,90.4991,83.76,46.5617,-1,-1,-0.732087,0.0190368,0,0,-0.229803,-1.96725,0,0,17.836,7.60586,0,0
193,2,0,174.518,112.612,46.8162,-1,-1,-0.422958,0.0129294,0,0,-2.68712,-2.8813,0,0,22.3668,6.35283,0,0
194,2,0,40.7705,57.5863,52.1373,-1,-1,1.49081,-0.0892138,0,0,-1.25275,1.40235,0,0,9.16689,11.0214,0,0
195,1,0,27.4551,48.1438,-1,-1,-1,-1.50414,0,0,0,-2.76008,0,0,0,6.73164,0,0,0
196,3,0,7.34206,75.8548,56.8105,36.8341,-1,-0.464299,-1.21836,-0.3197,0,-3.0974,0.749411,-1.77277,0,3.10797,9.11118,5.49024,0
197,3,0,97.7349,202.649,190.967,44.1216,-1,-1.6295,0.392715,0.228953,0,-1.05776,1.63739,2.0734,0,19.3347,15.5728,3.37826,0
198,2,0,25.6925,75.429,35.2661,-1,-1,-1.06484,1.01076,0,0,-2.75722,-0.578669,0,0,12.0113,8.50142,0,0
199,4,0,80.6913,86.6131,68.8312,41.5121,39.8125,-1.96103,1.69492,-1.60394,0.490959,-2.71391,-2.34521,-2.3984,-0.149325,9.09328,15.5288,6.54123,8.07243
200,3,0,189.652,213.985,107.713,36.9728,-1,0.919522,-0.180546,0.163635,0,0.58382,-1.62197,-1.31895,0,44.987,14.7424,5.55928,0
201,3,0,169.018,234.218,82.669,45.2017,-1,1.44439,-0.0682424,-1.18046,0,0.739328,-1.70835,2.40782,0,21.3272,8.49237,5.96961,0
202,3,0,66.2741,62.8109,55.3007,36.1296,-1,-0.30898,0.377861,1.13074,0,0.0879194,-1.10525,2.47158,0,12.3895,8.04057,7.33258,0
203,2,0,244.892,331.009,48.9081,-1,-1,-0.332905,1.0074,0,0,-1.46057,2.9871,0,0,32.2177,8.15369,0,0
204,1,0,76.6675,41.2562,-1,-1,-1,-2.21733,0,0,0,2.60579,0,0,0,5.2274,0,0,0
205,1,0,129.978,101.32,-1,-1,-1,-0.266685,0,0,0,-2.43535,0,0,0,9.79581,0,0,0
206,2,0,111.02,124.042,39.6295,-1,-1,0.538468,0.135223,0,0,-0.518681,1.51535,0,0,10.8114,9.75054,0,0
207,2,0,33.797,69.8933,47.9616,-1,-1,0.685598,-0.84358,0,0,-1.10225,2.85674,0,0,10.8533,8.43643,0,0
208,2,0,10.0019,87.7077,86.8302,-1,-1,-0.741584,-1.40011,0,0,0.564733,-2.76553,0,0,8.69879,15.9096,0,0
209,0,0,6.26504,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
210,1,0,102.28,75.5964,-1,-1,-1,0.159761,0,0,0,-0.104131,0,0,0,9.16815,0,0,0
211,2,0,43.8123,56.3658,40.4169,-1,-1,2.28164,1.17431,0,0,1.50691,-1.98138,0,0,5.67168,7.96437,0,0
212,5,0,148.257,102.703,66.66,63.1684,44.9191,1.08211,1.63611,1.03958,-1.8332,-0.972538,1.1319,1.75898,2.34266,11.3116,12.3278,8.5442,10.2758
213,2,0,95.5106,78.7425,47.2336,-1,-1,-1.45909,0.093737,0,0,-1.72165,-0.294697,0,0,12.5791,7.18556,0,0
214,1,0,42.3068,70.8504,-1,-1,-1,1.33042,0,0,0,2.09681,0,0,0,10.053,0,0,0
215,0,0,61.8093,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
216,2,0,335.527,181.875,139.229,-1,-1,0.448259,0.309594,0,0,-2.77082,-2.27737,0,0,30.2622,10.1932,0,0
217,3,0,155.041,130.362,97.0645,53.3508,-1,0.256562,1.74201,0.949736,0,-2.75097,1.20008,1.2867,0,9.97073,17.0958,10.581,0
218,0,0,91.4524,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
219,6,0,95.0821,124.617,116.258,108.02,88.699,-1.05508,0.165091,-0.608632,1.03226,1.13357,2.26767,2.90807,-1.73946,16.8479,9.43848,9.89732,12.9641
220,2,0,50.1005,84.4967,77.2368,-1,-1,-1.71572,-0.110084,0,0,-2.03564,0.950466,0,0,12.2327,11.6113,0,0
221,1,0,51.5279,64.0404,-1,-1,-1,-0.83764,0,0,0,-2.67691,0,0,0,8.76951,0,0,0
222,0,0,18.6043,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
223,0,0,34.0035,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
224,2,0,55.9673,67.5526,42.4497,-1,-1,-0.0636998,-0.639454,0,0,-0.361234,0.621883,0,0,10.4946,7.62333,0,0
225,2,0,97.1526,53.2695,47.1114,-1,-1,-0.451999,1.27466,0,0,-2.40114,1.99893,0,0,8.34263,8.06356,0,0
226,2,0,103.282,59.917,52.5484,-1,-1,0.530791,2.08899,0,0,-2.71798,-1.09511,0,0,10.3555,7.68231,0,0
227,2,0,114.822,86.4244,53.1441,-1,-1,-0.930087,-1.77533,0,0,-0.647428,0.733628,0,0,9.55921,8.56631,0,0
228,4,0,58.3201,237.71,105.166,73.3744,38.682,0.0790155,1.62039,1.35462,2.17554,-1.52925,1.5324,0.656231,1.49395,23.0074,24.9602,8.66763,5.63061
229,4,0,37.5829,156.554,87.9636,73.0868,38.4408,0.259663,0.506027,0.370202,-0.944754,-0.322335,2.12806,3.03029,1.46903,27.3968,12.0687,8.92764,5.68158
230,1,0,123.416,54.2631,-1,-1,-1,-1.44826,0,0,0,-2.4769,0,0,0,9.04528,0,0,0
231,1,0,33.1448,43.9562,-1,-1,-1,1.01169,0,0,0,-1.98594,0,0,0,8.5546,0,0,0
232,1,0,100.107,60.1639,-1,-1,-1,0.288423,0,0,0,0.977735,0,0,0,12.9358,0,0,0
233,2,0,99.1078,64.0791,43.3029,-1,-1,0.47358,1.64249,0,0,-0.660953,0.220971,0,0,10.0403,8.51213,0,0
234,2,0,94.9424,102.019,68.3309,-1,-1,-0.63722,1.45257,0,0,0.526074,2.48207,0,0,11.5656,9.01986,0,0
235,3,0,127.852,131.483,63.6442,43.4849,-1,0.632759,-0.837721,-0.68267,0,-2.81067,-1.34823,2.40506,0,20.5351,11.5781,7.22843,0
236,1,0,71.307,54.0233,-1,-1,-1,-0.858668,0,0,0,0.713679,0,0,0,7.61384,0,0,0
237,1,0,44.042,49.6287,-1,-1,-1,1.96298,0,0,0,-2.10997,0,0,0,5.73954,0,0,0
238,2,0,143.308,72.6679,36.0909,-1,-1,-0.0390528,-0.36844,0,0,1.90166,1.48552,0,0,12.4279,6.76575,0,0
239,2,0,47.0547,132.922,50.2481,-1,-1,1.7716,0.0256362,0,0,-1.64646,0.435253,0,0,15.0872,10.6017,0,0
240,2,0,89.55,50.13,49.4644,-1,-1,-0.673723,-0.23315,0,0,2.53913,-0.0304788,0,0,8.3585,9.60493,0,0
241,2,0,130.048,121.216,66.9973,-1,-1,0.631268,0.534567,0,0,-1.38241,-2.80027,0,0,14.8746,8.50142,0,0
242,2,0,158.339,150.3,73.8502,-1,-1,1.74928,0.0566745,0,0,0.130156,-1.6386,0,0,11.8616,16.7985,0,0
243,3,0,171.983,222.22,111.541,35.809,-1,-2.13442,0.558022,-0.938672,0,-2.70113,1.17645,-2.84235,0,22.0796,15.2176,7.85553,0
244,1,0,68.8702,74.9543,-1,-1,-1,0.974938,0,0,0,0.528466,0,0,0,10.456,0,0,0
245,2,0,246.9,68.3792,50.2911,-1,-1,-0.0169827,0.384107,0,0,2.60846,1.46682,0,0,13.422,7.2771,0,0
246,3,0,68.182,186.898,131.506,72.3973,-1,-0.959197,-0.658308,-1.51973,0,-0.261191,3.05296,2.64555,0,18.8286,24.5379,9.07816,0
247,1,0,116.979,92.2711,-1,-1,-1,0.71031,0,0,0,1.71213,0,0,0,10.5311,0,0,0
248,3,0,57.7844,266.841,85.6064,61.5177,-1,-1.51301,0.214313,-0.247684,0,1.7539,-1.25639,-1.19431,0,41.9369,12.9314,7.78189,0
249,6,0,307.374,265.736,175.857,128.174,105.662,1.04366,-2.0996,1.63466,1.65421,0.32742,1.51391,-2.72369,0.773499,37.492,17.9238,19.0783,12.7973
250,1,0,53.5612,49.9001,-1,-1,-1,-0.052805,0,0,0,2.23797,0,0,0,9.00854,0,0,0
